id,restaurant_id,star,comment
106,73.0,5.0,"['정말', '고소하고', '맛있는', '간장게장', '밑반찬', '다양하고', '맛있어서', '부모님', '좋아하셨어용', '예약', '미리', '조금', '귀찮지만', '만족스러웠어요']"
107,73.0,3.0,"['신선하고', '알차고', '맛있고', '감태', '있는', '좋다', '밑반찬', '특출나진', '계란찜', '누룽지', '구성', '좋다', '신선하고', '비리', '간장게장', '무조건', '예약', '가야', '비쌀', '필요', '있나', '가격', '방문', '서울', '맛있는', '게장', '많다']"
108,73.0,3.0,"['맛있는데', '최근', '포천', '맛있어서', '기대', '조금', '아쉽']"
109,73.0,4.0,"['예약', '안되어', '픽업', '살이', '정말', '통통', '허니', '맛있었어요', '쪼끔']"
110,73.0,1.0,"['여기', '명현', '무한리필', '좋은', '연평도', '암캐', '거기']"
111,73.0,2.0,"['여기', '강서구', '한우', '간장게장']"
112,73.0,3.0,"['생각', '별로']"
113,73.0,2.0,"['대비', '가격', '비쌈']"
114,73.0,1.0,"['사실', '게국지', '굴젓', '김칫국', '게국지', '아님', '부실하게', '게장', '몸통', '반찬', '대체로', '보통', '메인', '간간', '도대체', '가격', '무엇', '메인', '계란찜', '사진', '기분', '가기', '싫음', '지인', '굳이', '아니면', '다른', '추천', '비용']"
115,73.0,2.0,"['맛있는데', '어어', '비싸요', '주차', '어려워요', '예전', '며칠', '잡기', '힘들었는데', '이제', '쉬워진것', '같아요', '항상', '가격', '때문', '다시', '가기', '같아요']"
116,73.0,2.0,"['별루', '맛있는', '많음', '펑펑', '가까운데서', '급하게', '간장게장', '사람']"
117,73.0,4.0,"['나쁘진', '아닌듯', '가끔', '간장게장']"
118,73.0,4.0,"['맛있긴한데', '굳이', '멀리', '아닌듯']"
119,73.0,1.0,"['가격', '무니', '비싸']"
120,73.0,1.0,['서비스']
121,73.0,5.0,"['유명', '맛집', '기대하고', '정말', '맛있게']"
122,73.0,1.0,"['솔직히', '가성', '개도', '아까', '옛날', '유명했고', '방송', '기대했지만', '기대', '초창', '좋았는지', '이정', '가격', '이정', '아까', '차라리', '좋을듯', '저렴한데', '수두', '비싼', '예전', '미슐랭', '가이드', '간장게장', '좋아해서', '아님']"
123,73.0,5.0,"['정말', '맛있네요', '필수', '예약', '확인', '자리', '바로', '다양한', '종류', '반찬', '다리', '휠것같군', '원래', '양념', '게장', '좋아하는데', '간장게장', '간장게장', '내장', '산미', '부드러운', '게살', '달짝', '간장', '베이스', '감태', '반찬', '맛있었어요', '직원', '친절하시고', '식사', '내내', '계속', '마음', '따뜻해지는것', '같았습니다', '고맙습니다', '정말', '맛집', '게장', '건강하시구', '번창', '좋겠습니다']"
124,73.0,4.0,"['맛있었습니다', '게장', '차서', '정말', '가득', '좋았습니다', '서울', '가격', '이정', '게장', '먹기', '힘들것', '같네요', '다만', '자체', '게살', '특유', '단맛', '없는게', '아쉬웠네요', '청양고추', '시원한', '간장', '좋았습니다', '다른', '걱정', '다르게', '음식점', '특유', '명함', '있을지언정', '불친절함까지는', '아니었던것', '같네요']"
125,73.0,2.0,"['평범', '예전', '아니네요', '불친절']"
126,73.0,4.0,"['불친절하고', '쾌적하지만', '있음']"
127,73.0,4.0,['가즈']
128,73.0,3.0,"['달달', '간장게장', '아니고', '청양고추', '매콤', '간장게장', '입니다']"
129,73.0,1.0,"['웬만하면', '포장', '차도', '포장', '마리', '이런데도']"
130,73.0,3.0,"['비쌈', '없는건', '아닌데', '가격', '굳이', '방문', '같음', '전화', '계속', '식당', '조용해서', '조심스러울']"
131,73.0,1.0,"['비린거', '민감하', '신분', '세상', '비린', '마리', '게장', '포함', '모두', '도저히', '아까워', '라면', '거의']"
132,73.0,5.0,['맛있어요']
